City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,buala,-8.145,159.5921,26.65,89,100,4.02,SB,1701562341
142,brigantine,39.4101,-74.3646,10.57,98,100,1.48,US,1701562352
143,fuqing,25.725,119.3794,12.77,87,100,3.01,CN,1701562362
144,regina,50.4501,-104.6178,-3.34,68,46,4.47,CA,1701562008
145,yigo village,13.5361,144.8886,26.62,83,20,9.77,GU,1701562382
146,tofol,5.3248,163.0078,30.88,70,75,8.23,FM,1701562393
147,savonlinna,61.8699,28.88,-10.97,85,100,1.54,FI,1701562403
148,new norfolk,-42.7826,147.0587,16.07,70,100,1.27,AU,1701562414
149,xining,36.6167,101.7667,-3.02,45,8,0.83,CN,1701562424
150,chom thong,18.4174,98.6743,23.94,93,83,0.44,TH,1701562434
151,xilin hot,43.9667,116.0333,-7.11,72,58,5.8,CN,1701562445
152,punta arenas,-53.15,-70.9167,7.84,66,53,9.09,CL,1701562282
153,kruisfontein,-34.0033,24.7314,17.16,95,77,1.16,ZA,1701562465
154,labrador city,52.9463,-66.9114,-25.05,84,0,2.57,CA,1701562476
155,east london,-33.0153,27.9116,21.0,80,100,5.0,ZA,1701562486
156,tazovsky,67.4667,78.7,-27.81,94,6,4.85,RU,1701562496
157,kavaratti,10.5669,72.642,28.22,74,59,5.23,IN,1701562507
158,zag,46.9441,99.165,-16.21,83,28,1.33,MN,1701562517
159,dryden,49.7833,-92.7503,-2.84,68,75,4.63,CA,1701562528
160,nar'yan-mar,67.6713,53.087,-9.94,95,100,5.36,RU,1701562538
161,happy valley-goose bay,53.3168,-60.3315,-12.83,78,75,4.63,CA,1701562549
162,bhamo,24.2667,97.2333,18.48,78,100,0.42,MM,1701562559
163,constantia,44.1833,28.65,10.39,78,94,4.8,RO,1701562570
164,sidrolandia,-20.9319,-54.9614,27.69,49,54,0.46,BR,1701562469
165,quellon,-43.1167,-73.6167,8.61,74,51,3.83,CL,1701562590
166,turinsk,58.0458,63.696,-12.89,93,100,6.41,RU,1701562601
167,olonkinbyen,70.9221,-8.7187,0.07,96,93,10.04,SJ,1701562611
168,san antonio de pale,-1.4014,5.6325,26.45,84,81,3.83,GQ,1701562621
169,margaret river,-33.95,115.0667,18.95,67,67,4.17,AU,1701562632
170,papatowai,-46.5619,169.4708,13.22,56,76,7.64,NZ,1701562642
171,georgetown,5.4112,100.3354,26.64,83,20,2.06,MY,1701562405
172,hojai,26.0,92.8667,16.45,92,100,1.2,IN,1701562654
173,asau,46.4333,26.4,0.51,73,98,3.6,RO,1701562673
174,mushie,-3.0167,16.9,20.93,99,89,1.54,CD,1701562683
175,mogadishu,2.0371,45.3438,26.92,76,98,7.27,SO,1701562694
176,namsos,64.4662,11.4957,-6.97,79,28,5.66,NO,1701562704
177,zalingei,12.9096,23.4741,21.93,25,89,2.44,SD,1701562641
178,alaghsas,17.0187,8.0168,21.14,12,92,3.33,NE,1701562725
179,stephenville,32.2207,-98.2023,17.44,36,17,0.89,US,1701562661
180,nagqu,31.5,92.0,-10.81,55,31,1.47,CN,1701562755
181,hermanus,-34.4187,19.2345,16.93,71,98,1.44,ZA,1701562766
182,chonchi,-42.6128,-73.8092,9.56,78,39,2.11,CL,1701562776
183,santana,-0.0583,-51.1817,30.1,70,0,4.12,BR,1701562786
184,hutchinson island south,27.2995,-80.2205,26.16,87,40,4.12,US,1701562797
185,ylitornio,66.3089,23.6773,-15.35,94,98,3.17,FI,1701562807
186,vega de alatorre,20.0333,-96.6333,24.63,92,58,2.91,MX,1701562817
187,port saint john's,-31.6229,29.5448,20.77,87,84,1.88,ZA,1701562828
188,san luis de la loma,17.2706,-100.8939,26.54,74,38,1.03,MX,1701562838
